n_ocupacao,media_MAE,var_MAE,DP_MAE
0,1.0464846491249395,0.010969293253694204,0.10473439384316026
10,12.87779820000837,1.7302372218516477,1.3153848189224504
20,22.448468239880533,5.202078698248093,2.2808065893994813
30,32.07869258118995,10.439643082381547,3.2310436521937533
40,41.67214891287455,17.50752007198036,4.184198856648709
50,51.24276310166716,26.252397871618957,5.123709385944811
60,60.86058928549467,37.11039767222571,6.0918304040924935
70,70.5046386441078,49.67114310733514,7.047775756033611
80,80.16206078507956,64.03788755216144,8.00236762165807
90,89.85939493515863,80.47106323943622,8.970566494900766
100,99.56777588292157,98.56950766864634,9.928217748853333
