n_ocupacao,media_MSE,var_MSE,DP_MSE
0,891.3378600757891,7879.816152727223,88.76832854530507
10,526.631765499034,3236.1696691901257,56.8873419065272
20,1101.7041101389818,16273.817028899375,127.56887170818504
30,2614.305734648512,81684.66440556344,285.8052910734219
40,5067.486193307122,284267.4139342064,533.1673413987455
50,8452.82804145823,753719.9139632379,868.1704406182221
60,12819.890470370885,1737952.0479834757,1318.3140930686723
70,18110.181064832246,3389904.811193998,1841.1694140393486
80,24345.303302158838,6051647.275924454,2460.009608908968
90,31502.035789698293,10102462.226429451,3178.4370729069738
100,39595.86111062221,15800691.39329625,3975.008351349246
